"item","base_item","quaked","model","description"
"target_blacklight_rogue","target_blacklight","/* QUAKED target_blacklight (1 0 1) (-16 -16 -24) (16 16 24)","models/items/spawngro2/tris.md2","Pulsing black light with sphere in the center."
"target_blaster_rogue","target_blaster","/* QUAKED target_blaster (1 0 0) (-8 -8 -8) (8 8 8) NOTRAIL NOEFFECTS","","Blaster fire. Must be triggered in order to work."
"target_changelevel_rogue","target_changelevel","/* QUAKED target_changelevel (1 0 0) (-8 -8 -8) (8 8 8)","","Level entrance/exit points in SP."
"target_character_rogue","target_character","/* QUAKED target_character (0 0 1) ?","","One of eight 8x16 brushes required for the style of a func_clock to work."
"target_crosslevel_target_rogue","target_crosslevel_target","/* QUAKED target_crosslevel_target (.5 .5 .5) (-8 -8 -8) (8 8 8) trigger1 trigger2 trigger3 trigger4 trigger5 trigger6 trigger7 trigger8","","Targeted event of a target_crosslevel_trigger in SP."
"target_crosslevel_trigger_rogue","target_crosslevel_trigger","/* QUAKED target_crosslevel_trigger (.5 .5 .5) (-8 -8 -8) (8 8 8) trigger1 trigger2 trigger3 trigger4 trigger5 trigger6 trigger7 trigger8","","Triggers up to eight events in another level of the unit in SP."
"target_earthquake_rogue","target_earthquake","/* QUAKED target_earthquake (1 0 0) (-8 -8 -8) (8 8 8) SILENT","","An earthquake. Must be triggered in order to work."
"target_explosion_rogue","target_explosion","/* QUAKED target_explosion (1 0 0) (-8 -8 -8) (8 8 8)","","Creates a visual explosion that can inflict damage."
"target_goal_rogue","target_goal","/* QUAKED target_goal (1 0 1) (-8 -8 -8) (8 8 8)","","Goal target. When the map is being loaded in SP, the game counts all of them. When a goal has been triggered, it adds 1 to the goal count."
"target_help_rogue","target_help","/* QUAKED target_help (1 0 1) (-16 -16 -24) (16 16 24) help1","","Computer updater target. Updates the help computer in SP."
"target_killplayers_rogue","target_killplayers","/* QUAKED target_killplayers (1 0 0) (-8 -8 -8) (8 8 8)","","Kills all the players on the map. God-mode proof."
"target_laser_rogue","target_laser","/* QUAKED target_laser (0 .5 .8) (-8 -8 -8) (8 8 8) START_ON RED GREEN BLUE YELLOW ORANGE FAT WINDOWSTOP","","Laser that inflicts damage. Moving lasers must be targeted to func_train."
"target_lightramp_rogue","target_lightramp","/* QUAKED target_lightramp (0 .5 .8) (-8 -8 -8) (8 8 8) TOGGLE","","Target that makes a light fade in/out."
"target_orb_rogue","target_orb","/* QUAKED target_orb (1 0 1) (-16 -16 -24) (16 16 24)","","Translucent pulsing orb with speckles."
"target_secret_rogue","target_secret","/* QUAKED target_secret (1 0 1) (-8 -8 -8) (8 8 8)","","Secret target. When the map is being loaded in SP, the game counts all of them. When a secret has been triggered, it adds 1 to the secret count."
"target_spawner_rogue","target_spawner","/* QUAKED target_spawner (1 0 0) (-8 -8 -8) (8 8 8)","","Spawns another entity. Can be an item or a monster."
"target_speaker_rogue","target_speaker","/* QUAKED target_speaker (1 0 0) (-8 -8 -8) (8 8 8) looped-on looped-off reliable","","Plays a sound in a particular area."
"target_splash_rogue","target_splash","/* QUAKED target_splash (1 0 0) (-8 -8 -8) (8 8 8)","","Spawns liquid splashes in an area."
"target_steam_rogue","target_steam","/* QUAKED target_steam (1 0 0) (-8 -8 -8) (8 8 8)","","Creates a steam effect."
"target_string_rogue","target_string","/* QUAKED target_string (0 0 1) (-8 -8 -8) (8 8 8)","","Entity that allows func_clock to use target_characters."
"target_temp_entity_rogue","target_temp_entity","/* QUAKED target_temp_entity (1 0 0) (-8 -8 -8) (8 8 8)","","Spawns a specific sprite."
"trigger_always_rogue","trigger_always","/* QUAKED trigger_always (.5 .5 .5) (-8 -8 -8) (8 8 8)","","Trigger that activates at the beginning of the level."
"trigger_counter_rogue","trigger_counter","/* QUAKED trigger_counter (.5 .5 .5) ? nomessage","","Trigger that activates when two or more actions take place. (I.E. a door that opens with two buttons)"
"trigger_disguise_rogue","trigger_disguise","/* QUAKED trigger_disguise (.5 .5 .5) ? TOGGLE START_ON REMOVE","","Trigger that puts a disguise in any player that uses it. The disguise is destroyed upon weapon fire."
"trigger_elevator_rogue","trigger_elevator","/* QUAKED trigger_elevator (0.3 0.1 0.6) (-8 -8 -8) (8 8 8)","","Elevator trigger. Used in elevators that span multiple levels such as the lava room one in ''Borehole'' (mine2). Must be used in tandem with func_button and func_train (and ofc path_corner)."
"trigger_gravity_rogue","trigger_gravity","/* QUAKED trigger_gravity (.5 .5 .5) ? TOGGLE START_OFF","","Trigger that affects the gravity of anything inside of it."
"trigger_hurt_rogue","trigger_hurt","/* QUAKED trigger_hurt (.5 .5 .5) ? START_OFF TOGGLE SILENT NO_PROTECTION SLOW","","Trigger that damages anything inside of it."
"trigger_key_rogue","trigger_key","/* QUAKED trigger_key (.5 .5 .5) (-8 -8 -8) (8 8 8)","","Trigger that requires a key_ item in order to be operated."
"trigger_monsterjump_rogue","trigger_monsterjump","/* QUAKED trigger_monsterjump (.5 .5 .5) ?","","Entity that can only be triggered by a monster. Makes the monster jump over something."
"trigger_multiple_rogue","trigger_multiple","/* QUAKED trigger_multiple (.5 .5 .5) ? MONSTER NOT_PLAYER TRIGGERED TOGGLE","","Trigger that can be activated multiple times."
"trigger_once_rogue","trigger_once","/* QUAKED trigger_once (.5 .5 .5) ? x x TRIGGERED","","Trigger that can be activated only once."
"trigger_push_rogue","trigger_push","/* QUAKED trigger_push (.5 .5 .5) ? PUSH_ONCE START_OFF SILENT","","Trigger that pushes the player in any direction. Used for wind tunnels."
"trigger_relay_rogue","trigger_relay","/* QUAKED trigger_relay (.5 .5 .5) (-8 -8 -8) (8 8 8)","","Trigger that relays actions."
"trigger_teleport_rogue","trigger_teleport","/* QUAKED trigger_teleport (.5 .5 .5) ? player_only silent ctf_only start_on","","Trigger that teleports any player that touches it."
"turret_base_rogue","turret_base","/* QUAKED turret_base (0 0 0) ?","","Turret base."
"turret_breach_rogue","turret_breach","/* QUAKED turret_breach (0 0 0) ?","","Turret cannon."
"turret_driver_rogue","turret_driver","/* QUAKED turret_driver (1 .5 0) (-16 -16 -24) (16 16 32)","models/monsters/infantry/tris.md2","Turret driver. Usually an Enforcer (monster_infantry)."
"turret_invisible_brain_rogue","turret_invisible_brain","/* QUAKED turret_invisible_brain (1 .5 0) (-16 -16 -16) (16 16 16)","","Invisible brain that drives the turret."
"viewthing_rogue","viewthing","/* QUAKED viewthing (0 .5 .8) (-8 -8 -8) (8 8 8)","models/objects/banner/tris.md2","BROKEN. DON'T USE."
"weapon_bfg_rogue","weapon_bfg","/* QUAKED weapon_bfg (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_bfg/tris.md2","BFG10K."
"weapon_chainfist_rogue","weapon_chainfist","/* QUAKED weapon_chainfist (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_chainf/tris.md2","Chainfist. Close-range chainsaw fist."
"weapon_chaingun_rogue","weapon_chaingun","/* QUAKED weapon_chaingun (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_chain/tris.md2","Chaingun."
"weapon_disintegrator_rogue","weapon_disintegrator","/* QUAKED weapon_disintegrator (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_dist/tris.md2","Disintegrator. Cut weapon that disintegrates an enemy."
"weapon_etf_rifle_rogue","weapon_etf_rifle","/* QUAKED weapon_etf_rifle (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_etf_rifle/tris.md2","ETF Rifle. Shoots flechettes that ignore armor."
"weapon_grenadelauncher_rogue","weapon_grenadelauncher","/* QUAKED weapon_grenadelauncher (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_launch/tris.md2","Grenade Launcher."
"weapon_hyperblaster_rogue","weapon_hyperblaster","/* QUAKED weapon_hyperblaster (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_hyperb/tris.md2","Hyperblaster."
"weapon_machinegun_rogue","weapon_machinegun","/* QUAKED weapon_machinegun (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_machn/tris.md2","Machinegun."
"weapon_plasmabeam_rogue","weapon_plasmabeam","/* QUAKED weapon_plasmabeam (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_beamer/tris.md2","Plasma Beam. Shoots a plasma stream that cooks anything it touches."
"weapon_proxlauncher_rogue","weapon_proxlauncher","/* QUAKED weapon_proxlauncher (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_plaunch/tris.md2","Prox Launcher. Shoots mines that explode upon proximity."
"weapon_railgun_rogue","weapon_railgun","/* QUAKED weapon_railgun (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_rail/tris.md2","Railgun."
"weapon_rocketlauncher_rogue","weapon_rocketlauncher","/* QUAKED weapon_rocketlauncher (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_rocket/tris.md2","Rocket Launcher."
"weapon_shotgun_rogue","weapon_shotgun","/* QUAKED weapon_shotgun (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_shotg/tris.md2","Shotgun."
"weapon_supershotgun_rogue","weapon_supershotgun","/* QUAKED weapon_supershotgun (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_shotg2/tris.md2","Super Shotgun."
"worldspawn_rogue","worldspawn","/* QUAKED worldspawn (0 0 0) ?","","Main world entity. All maps have one."
